english	sign
our train stopped suddenly	our train close shock
she wants 25 apples	she like 2 5 apple
fareeha died in 2009	f a r e e h a died 2 0 0 9
there are 952 people walking around	9 5 2 people walk there
alive	breathe
do you want to eat lunch	you want lunch
she is tired	she tired
she was born in april	she born a blank a
she know how to drive a car	she know how drive
how long will they live here	how time future they stay here
mayil passed away in 1990	m a y i l died 1 9 9 0
when she was 56 years old she died	she 5 6 died
i was born in roorkee	me born place r o o r k e e
her father went to work	go she father office
he came to see you tomorrow	he come you look tomorrow
i want tea	i want tea
hastin died in 2017	h a s t i n died 2 0 1 7
how you know him	you how know him
i saw her never before	me no seen her past
my sister died in 1980	me sister died 1 9 8 0
do you not understand	you understand no
does he want coffee	he want coffee
she was born in raipur	she born place r a i p u r
you wait for sometime please	you please time some wait
1 people are there in her family	her family 1 people
she forgot to feed her dog	she forgot feed dog
would she like to have coffee or tea	she want tea or coffee
he worried for result	he correct anxious
we meet tomorrow	we tomorrow meet can
they avoided being caught	catch no
that drice nice she look	she look beauty dress
where is bathroom	bathroom where
her behaviour is very odd today	she behaviour work odd today
he bored us with his long speech	he long speech bored us
she motioned for her to sit down	she say her sit
january, february, march, april, may, june, july,	j eid f m march a blank a m a y j rain j y
he was born in jamshedpur	he born place j a m s h e d p u r
something to eat you want	you eat something want
elephant	elephant
he told me the rule	he rule me
near my house a fire broke out	my house near fire
this book do you know about it	you know this book
i like shopping	me like shopping
i must have kept it on the bus	me must keep on drive
complaining always he are	he everyday complain
try your gujarathi to improve	try correct you gujarati
dad is shaving in the bathroom	father shave bathroom
i did not go out last sunday	me no go out past sunday
they eats lunch at a cafeteria	they eat there cafeteria
she was born on 9 september 1939	she born 9 s blank s 1 9 3 9
33	3 3
easily done for me	that me easy work
she turned 27 on this birthday	she birthday 2 7
he takes their dog for a walk everyday	he walk their dog every morning
i will give her a large folder	me her take large folder
is it possible to borrow money	what money you take
5 people are there in her family	her family 5 people
my father passed away in 1972	me father died 1 9 7 2
everyone likes fair hair and blue eyes	all like good hair blue eyes
v	v
february, march, april,	f m march a blank a
march july and february	m march j y and f
i have been wanting to do it for the last 24 months	me like work past 2 4 month
he does not understand anything	he understand nothing
flowers he want	he like flower
83	8 3
myanmar is situated on the east of india 	m y a n m a r keep east i n d i a
he went for me	he me change there go
i cannot see her	me no look her
we got tiredfrom her long speech	she long speech bored us
no excited	excite no
excel	excel
1 people are there in her family	her family 1 people
they have soft drink	they keep drink
she thought for a few minutes	she think few minutes
they went to another town on business	they town out work
i am pleased with the result	me happy correct
he was born in pune	he born place p u n e
when she was 56 years old she died	she 5 6 died
let's go have breakfast	lets_go eat
auto	auto
made in japan was the car	drive made J a p a n
i four years old turn today	today me 4 grow
she was born in ludhiana	she born place l u d h i a n a
careful no say again	alert second tell no
i am not being a computer	me no be computer
you are not right	you wrong
would he like to have coffee	he want coffee
she could not breathe deeply	she no deep_breath
he has tickets	he keep ticket
he turned 32 on this birthday	he birthday 3 2
how long will they live here	how time future they stay here
make it quick	fast
sailing for kerala the ship set	ship sail k e r a l a
there are 245 men walking around	2 4 5 woman walk there
she was born in hyderabad	she born place h y d e r a b a d
he will show you the picture and explain it	he picture look explain
3 people are there in my family	me family 3 people
he is going to put the baby to bed	he baby bed
329	3 2 9
my mother passed away in 1984	me mother died 1 9 8 4
she was teacher for 2 years	she teacher 2 year
you were born on 25 october 1957	you born 2 5 october 1 9 5 7
south america has some indians staying there	indians stay s o u t h blank a m e r i c a
we were surprised by the news	we surprise news
he is sorry	he sorry
this is a big waste of time	this big waste time
everyone speaks well of them	everyone say good them
i walked with him	me accompany her roam walk
they were taken away	taken far city
october june and december	october j rain and d cold
does she have soft drink	she keep drink
he will be pleased to help you	he you help happy
he will go to america tomorrow	he tomorrow go a m e r i c a
66 people are walking	6 6 people walk
laugh	laugh
you were born on 25 april 1988	you born 2 5 a blank a 1 9 8 8
44 people are walking	4 4 people walk
less nonsense	talk little
i wanted to be a singer	me want singer
372	3 7 2
he has not seen him in months	me no look her big month
you were born on 7 october 1981	you born 7 october 1 9 8 1
around the bush stop beating	close beat around the bush
please take off your socks	please socks take_off
there is bad smell from his clothes	he shirt waste smell
5 people are there in my family	me family 5 people
his pride was hurt by what i said	me say pain his pride
what do you think i am i asked them	me say them must what you like be
may, june, july, august, september, october,	m a y j rain j y a tiewrist s blank s october
you live with parents	you accompany stay father mother
india is famous for cricket	india famous cricket
they cannot do play cricket	they know no how play cricket
not dried yet is the paint	paint no dry yet
weak	weak
o	o
can we meet tommorow	we tomorrow meet can
they will be back in five hours	they future return hour 5
table tennis is my favourite sport	t a b l e t e n n i s me like game
it looks fun to me	that look me like
5217	5 2 1 7
you were born on 19 october 2010	you born 1 9 october 2 0 1 0
father has a headache	father headache
sabeena died in 1995	s a b e e n a died 1 9 9 5
you like to place it wherever	place wherever you like
nabhitha passed away in 1996	n a b h i t h a died 1 9 9 6
she has seen me three times	she look me 3 
there are 189 women walking around	1 8 9 man walk there
the story is famous important and sensitive	story famous important sensitive
devani passed away in 2001	d e v a n i died 2 0 0 1
he was born on 5 october 1937	he born 5 october 1 9 3 7
does he wish for something to eat	he eat something want
broken to pieces was the vase	vase broken pieces
they have to live in no house	they house no stay
love our neighbors	we like our and
pulastya passed away in 1993	p u l a s t y a died 1 9 9 3
she turned 44 on this birthday	she birthday 4 4
careful don't utter it again	alert second tell no
she was 89 years old when she died	she 8 9 died
something to eat she wants	she eat something want
it is like a dream come true	dream come true
when he was 97 years old he died	he 9 7 died
they will stay here till when	how time future they stay here
he is pleased to help her	he her help happy
we were surprised by the news	we surprise news
she will come back in three hours	she future return hour 3
99 people are walking	9 9 people walk
i worked at local nursing homes where this was done successfully	me work local nurse where work good
everyone knows about this book	everyone know book
i like the color black	me black like
jewish	jewish
nothing can be settled over a fight	fight no settle
chess is my favourite sport	c h e s s me like game
i am going to a theater	me go theater
houses burned down were 10	1 0 house burn down
wherever you like place it	place wherever you like
4 people are there in her family	her family 4 people
my uncle brought me flowers	me uncle take me flower
all felt sorry for dhanvant	people know sorry d h a n v a n t
he knew the story already	he know story past
690	6 9 0
he is not sorry	he sorry no
he turned 40 on this birthday	he birthday 4 0
i do not understand anything	me understand nothing
i have to put the baby to bed	me baby bed
did you ever go to india	you ever i n d i a
he turned 49 on this birthday	he birthday 4 9
it seems that she is truthful	she recognize she truth
i was born in maharaj	me born place m a h a r a j
i've never seen him before	me no seen him past
her clothes are always smelly	she shirt waste smell
all felt sorry for hanuman	people know sorry h a n u m a n
i was born in gonda in 1905	me born place g o n d a 1 9 0 5
651	6 5 1
shailen died in 1996	s h a i l e n died 1 9 9 6
rayirth passed away in 2011	r a y i r t h died 2 0 1 1
what i said hurt his pride	me say pain his pride
he went to chennai on friday	he go c h e n n a i friday
she was born on 10 september 1937	she born 1 0 s blank s 1 9 3 7
she has to put the baby to bed	she baby bed
his grandmother died in 1964	his grandmother died 1 9 6 4
tomorrow we meet	we tomorrow meet can
her brother passed away in 1995	her brother died 1 9 9 5
on thursday he went to kerala	he go k e r a l a thursday
today is my sister's birthday	today me sister birthday
you should not book tickets	you ticket bookv no
i don't want to see your face	me no look face you
ulka passed away in 1996	u l k a died 1 9 9 6
she was born on 20 may 1915	she born 2 0 m a y 1 9 1 5
communicate	talk 
what a great idea it is	that correct idea
her diary was left there	she d i a r y left
does he have juice	he keep drink
nice meeting you	good meet you
do you watch television	you tv watch
assistant	me accompany
talish died in 2002	t a l i s h died 2 0 0 2
it is no use arguing with her	her talk no work
he does not like shopping	he like shopping no
46 people are walking	4 6 people walk
for the candidate we voted	we vote candidate
on the head the man hit me	man me accident head
can i borrow money	what money you take
soliers threatened them	soldiers threaten
35	3 5
he turned 37 on this birthday	he birthday 3 7
i'm not fine	me fine no
every morning he takes his dog for walk	he walk his dog every morning
the story is sensitive  	story sensitive
you know her how	you how know her
later we will meet	we later me meet can
she told her to sit down	she say her sit
285	2 8 5
john saved her from the fire	j o h n save her fire
9 people are there in his family	her family 9 people
hungry	hungry
he was born on 5 august 1911	he born 5 a tiewrist 1 9 1 1
ammar passed away in 2014	a m m a r died 2 0 1 4
he speaks truth because it is easy to remember	he tell correct because easy know
i have no idea how he escaped	me know no how he escape
i was born on 14 july 1921	me born 1 4 j y 1 9 2 1
won't you join us for dinner	you join dinner
i worked hard my whole life and have never taken charity from anyone	me work difficult me life me no take anyone take
he is glad to help you	he you help happy
the story was already known by him	he know story past
9 people are there in my family	me family 9 people
i want this wonderful sport to have more girls be a part of it	me want more girl part wonderful sport
climbing up a tree was the monkey	monkey climb up tree
she found it easy to do so	that she easy work
they wanted to do it for the last 14 months	they like work past 1 4 month
september to october	s blank s october between
kapalini died in 2015	k a p a l i n i died 2 0 1 5
this poem how she interpret	she how interpret this poem
i did not see him since then	me no look her time then
hidden rooms were behind the bookcase	bookcase behind hidden room
my sister is gorgeous	me sister beauty
15 people are walking	1 5 people walk
4 people are there in his family	her family 4 people
i'm going to meet him tomorrow	me her meet tomorrow
italy is in europe	i t a l y e u r o p e
10 houses were burned down	1 0 house burn down
lets go to the movies	movie look go okay
january, february, march, april,	j eid f m march a blank a
83 people are walking	8 3 people walk
1 people are walking	1 people walk
he goes to office	he office go
2008	2 0 0 8
please give me a cup of tea	please take cup tea
very short tempered you are	you big temper
this sunday he will be on duty	he future duty this sunday
50 houses were burned down in the fire	5 0 house burn down
for a few minutes she thought	she think few minutes
i will be pleased to help him	me him help happy
school begins at 8:30	school 8 3 0
she was 41 years old when she died	she 4 1 died
i wanted to do it for the past 29 years	me like work past 2 9 year
she could not speak to anyone even a single word	she no say word anyone
may, june,	m a y j rain
connect	connect
he didn't have many friends	he friend big no
nabhitha passed away in 1996	n a b h i t h a died 1 9 9 6
a singer she wants to be	she want singer
do you watch tv	you tv watch
september may or july	s blank s m a y or j y
you write as neat as you can	you can good write
in our favour the war is going	war our favour
they have got on my nerves	they me headache
he was born in jamshedpur	he born place j a m s h e d p u r
she visited a church 	me visited church and like
not drinkable is the water	water no drink
he is a clerk	he clerk
i was born in august	me born a tiewrist
go	go
her grandmother died in 2001	her grandmother died 2 0 0 1
there is no money left	all money spend
94 people are walking	9 4 people walk
where the changing room is	where change room
for this job there is no future	there no future work
he was not allowed to meet anyone	he allow meet no
she studied literature	she study literature
your father she met yesterday	she meet you father past
i visited a church and fell in love with it	me visit church and like
she has been wanting to do it for the last 14 years	she like work past 1 4 year
there are 4 people walking in the street	4 people walk there
how did you come to know her	you how know her
she went to another town on business	she town out work
she was 57 years old when she died	she 5 7 died
her father works in an office	father work  office
can you tell me where the toilet is	what you tell bathroom where
use the dustbin do not throw garbage please	please garbage no use dustbin
this book do you know	you know this book
there is not a traffic jam	traffic jam no
she was born on 1 january 2018	she born 1 j eid 2 0 1 8
beware don't repeat that	alert second tell no
i wanted to do it for the past 29 years	me like work past 2 9 year
her sister died in 1986	her sister died 1 9 8 6
he died there	he died
something to drink he wants	he drink something want
bring your mother next time	you mother second accompany come 
i did it the way she told me to	she me work she say
it isn't easy to speak english	english say no easy
she could not play cricket	she know no how play cricket
since then he did not see him	he no look her time then
she turned 19 on this birthday	she birthday 1 9
he did so easily	that he easy work
hindi is spoken in india	h i n d i say i n d i a  
shop	shop
it is useless arguing with him	her talk no work
for the candidate we voted	we vote candidate
his long speech tiredus all	he long speech bored us
the number of rooms in the house are eleven	house keep 1 1 rooms
you are in your senses or not	you what mind
indians caught pr of canada	indians take p r blank c a n a d a
more girls i want to be a part of this wonderful sport	me want more girl part wonderful sport
6333	6 3 3 3
are you in support or not	you against for
i am fine	me fine
she had many friends	she friend big
i take bath every other day	me bath every_other_day
he went to mumbai on tuesday	he go m u m b a i tuesday
today is it possible for you to go	you today go can
63 people are walking	6 3 people walk
55 people are walking	5 5 people walk
walk i went for with him	me accompany her roam walk
his dream is to be doctor	he wish doctor
october to september	october s blank s between
august, september, october, november,	a tiewrist s blank s october n cracker
i was born on 7 february 1955	me born 7 f 1 9 5 5
do you want to have food	you want food
i was born in udupi	me born place u d u p i
how long you stay in foreign	you how time aeroplane stay
i have been wanting to do it for the past 30 years	me like work past 3 0 year
he turned 37 on this birthday	he birthday 3 7
he was born in pune	he born place p u n e
allowed by him she went alone	she allow him go alone
9 people are there in my family	me family 9 people
he eats dinner at a canteen	he eat there cafeteria
late	late
medicine	medicine
the girl climbed up a tree 	girl climb up tree
69 people are walking	6 9 people walk
this was done good at the nursing homes he woked	he work local nurse where work good
i worked hard this year doing all the right things and it has really paid off	work difficult true work now year doing thing and take
she eats dinner at a canteen	she eat there cafeteria
he said he was happy	he say she happy
she come tomorrow to see you	she come you look tomorrow
she showed poem to the teacher	she look poem teacher
she turned 48 on this birthday	she birthday 4 8
she was born on 22 august 1992	she born 2 2 a tiewrist 1 9 9 2
is she sick	she sick
i am thinking of changing jobs	me work change work
is he sick	he sick
we ourselves really enjoyed	we really enjoyable our
i was born on 28 february 1967	me born 2 8 f 1 9 6 7
he wants to drink something	he drink something want
with tea our tea she drink	she drink tea accompany sugar
you were born in amravati	you born place a m r a v a t i
karan gave up smoking for a year	k a r a n give_up smoking 1 year
they purchased a lot of expensive things	they big money purchase
there are 153 women walking on the road	1 5 3 man walk there
he was born in modasa in 1986	he born place m o d a s a 1 9 8 6
badminton is my favorite game	b a d m i n t o n me like game
august to march	a tiewrist m march between
tejal likes going to the barber	t e j a l like go barber
when he was 75 years old he died	he 7 5 died
native place	home place
he closed the door all of a sudden	he close door shock
he nothing lack	he lack nothing
i was born in mandi	me born place m a n d i
sushobhana passed away in 2002	s u s h o b h a n a died 2 0 0 2
he turned 32 on this birthday	he birthday 3 2
his homework he finished	he homework finish did
indians are staying in south america	indians stay s o u t h blank a m e r i c a
read as many books as possible	read big book like
49	4 9
money how much amount	money what
may july and april	m a y j y and a blank a
he was born in pilani	he born place p i l a n i
turn off the light please	turn off light please
her brother passed away in 1962	her brother died 1 9 6 2
from july to march	j y m march between
if you are lying what penalty shall be given to you	you lie what penalty take 
i was born on 22 february 2015	me born 2 2 f 2 0 1 5
finish your assignment	you homework finish
she turned 60 on this birthday	she birthday 6 0
separation between men and women took place	men separate women separate
where the bathroom	bathroom where
last match africa played well	a f r i c a play good past match
21 people are walking	2 1 people walk
the monkey climbed up a tree	monkey climb up tree
she have never taken anyones charity and have worked hard for my whole life	she work difficult she life she no take anyone take
i have written this before but it is worth repeating	me write this past change worth write again
she died after getting sick and suffering	she sick suffered died
does he want to drink something	he drink something want
will you wait for sometime please	you please time some wait will
i walked with him	me accompany roam
she don’t like looking at it	she no look it
everybody does not know this book	everyone know book no
complete sentences we want	we like complete sentences
he know to drive	he know how drive
i love wreslting	me like w r e s l t i n g
his absence was due to illness	he ill absent
you shouldn't book tickets	you ticket bookv no
she cannot bear to see it	she no look it
file	file
she wishes to drink something	she drink something want
he is anxious about the result	he correct anxious
mom went to the toilet	mother bathroom go
there are 936 people walking on the road	9 3 6 people walk there
age	year
what is your job	you work what
she does not know how to play cricket	she know no how play cricket
i was born in december	me born d cold
35646	3 5 6 4 6
no one knows this book	everyone know book no
she was disappointed to know this	she know sad
her long speech was boring	she long speech bored us
a person can't live without dreams	man no breathe dream no
by ship she was travelling	she travel ship
her dog to feed she forgot	she forgot feed dog
i beg your pardon	me you sorry
chirayu died in 1992	c h i r a y u died 1 9 9 2
do he want flowers	he like flower
966	9 6 6
her school she liked it a lot 	she like school big
for kerala the ship set sail	ship sail k e r a l a
i am not thinking	me thinking no
there are 219 people walking on the road	2 1 9 people walk there
she has tickets	she keep ticket
my boss will not say yes	me boss say no yes
please wait for sometime	please time some wait
sick with fever her mother died	mother sick ill died
i look lovely	me beauty
i will show you the picture and explain it	picture look explain
the matters settle somehow	somehow settle matter
i walked with him	me accompany her roam walk
my mother passed away in 1994	me mother died 1 9 9 4
later we meet	we later me meet can
doctor she wishes to become	she wish doctor
may, june, july, august, september, october, november,	m a y j rain j y a tiewrist s blank s october n cracker
no one can move the big box	no people move big box
a fire broke out near her home	her house near fire
i worked at local nursing homes where this was done successfully	me work local nurse where work good
there are 247 people walking in the street	2 4 7 people walk there
all felt sorry for qasim	people know sorry q a s i m
someone has cut my kite string	someone cut me flying_kite
you have tickets	you keep ticket
they are digging their own grace	they dig own grave
i have been wanting to do it for the past 15 years	me like work past 1 5 year
we want complete sentences	we like complete sentences
this is a big waste of time	this big waste time
i was born on 7 february 1955	me born 7 f 1 9 5 5
home	home
it is raining cats and dogs	rain big
i have written to her a couple times and asked her to stop sending me used clothes	me write letter again 1 2 3 4 write say close send smell shirt
to solve this problem is easy	this problem easy solve
business is so slow these days	now work slow
he was born in chandigarh	he born place c h a n d i g a r h
53	5 3
8 people are there in her family	her family 8 people
she wrote about hiding for two years	she write 2 year hidden
49 people are walking	4 9 people walk
you like which one say	say which you like
he read her diary 	he read d i a r y
she eats food at canteen	she eat there cafeteria
their absence was because of illness	they ill absent
i like to shop	me like shopping
it was about father mother and three baby ducklings	father mother 3 ducklings baby
i left the keys with my wallet	me keys wallet
735	7 3 5
i was born in jabalpur in 1996	me born place j a b a l p u r 1 9 9 6
there are 341 people walking in the street	3 4 1 people walk there
does she wish for something to drink	she drink something want
everyone felt sorry for pragyaparamita	people know sorry p r a g y a p a r a m i t a
i don’t want to look at her	me no look her
he lack nothing	he lack nothing
to die young was her fate	her fate die young
near my home a fire broke out	my house near fire
i have been wanting to do it for the last 23 years	me like work past 2 3 year
there was a fire near his home	his house near fire
i was born in kadapa	me born place k a d a p a
112	1 1 2
you were born in october	you born october
the shop had good which were leather	shop leather goods
he was born on 9 september 1962	he born 9 s blank s 1 9 6 2
that dress she look nice in	she look beauty dress
i've met a kind woman never	me no meet kind women
she likes shopping	she like shopping
you were born on 16 march 1993	you born 1 6 m march 1 9 9 3
you are a girl that is why	you girl
she has not seen him since then	she no look her time then
less nonsense	talk little
he was born in lucknow	he born place l u c k n o w
shall i give you help	me help you
they went to her father's office	go father office
cricket is my favourite sport	c r i c k e t me like game
she does not understand anything	she understand nothing
i am worried about her safety	me her keep anxious
almost every day he takes bath	he bath every_other_day
work	work
i fell in love with a church i visited	me visit church and like
an expenditure which has no value	money no money
she is glad to help her	she her help happy
he couldn’t do swimming	he know no how swim
something new she tries everyday	she everyday try something new
i like going to the barber	me like go barber
it is for free	this free
july	j y
dressed in black is her always	she everyday wear black
does she want to eat something	she eat something want
good afternoon	good afternoon
for me it was too easy	too easy me
she fell in love with a church she visited	me visited church and like
8 people are there in her family	her family 8 people
a day is made of 24 hours	day two four hours
you were born on 2 september 1917	you born 2 s blank s 1 9 1 7
flower is pretty	flower beauty
his clothes bad smell	he shirt waste smell
she walks their dog every morning	she walk their dog every morning
he came yesterday to see you	he come you look past
people speak well of her	people say good her
can you go today	you today go can
i don't feel like eating now	me know no eat now
i love carroms	me like c a r r o m s
february,	f
last match africa played well	a f r i c a play good past match
om prakash kohli is our governor	o m blank p r a k a s h blank k o h l i our work
she turned 8 on this birthday	she birthday 8
please speak in a low voice	please say low voice
pool is my favorite game	p o o l me like game
golf is my favourite sport	g o l f me like game
they bought many costly things	they big money purchase
there are 941 men walking in the street	9 4 1 woman walk there
the ship sail for kerala	ship sail k e r a l a
with him i went for a walk	me accompany her roam walk
he turned 47 on this birthday	he birthday 4 7
no one knows this book	everyone know book no
july december and november	j y d cold and n cracker
she had written about two years in hiding	she write 2 year hidden
all felt sorry for artana	people know sorry a r t a n a
he is acting weird today	he behaviour work odd today
she was born in bhavnagar in 1936	she born place b h a v n a g a r 1 9 3 6
she is beautiful	she beauty
a dancer i am not being	me no be dancer
i was just kidding	me happy
he wanted an apple	he like apple
the bride laughed suddenly	bride shock laugh
this book do you know about it	you know this book
a singer i want to be	me want singer
last year he changed school	he change school past year
i want my child to have the best education 	me want me child have best education
i worked at local nursing homes where this was done successfully	me work local nurse where work good
there are 815 women walking in the street	8 1 5 man walk there
learn	learn
everyone suffered	everyone suffered
she died in the afternoon yesterday	she die past afternoon
i was born on 14 july 1921	me born 1 4 j y 1 9 2 1
she doesn't want to eat	she eat want no
does she have cash	she money have
it looks interesting to me	that look him like
leather goods were carried by the shop	shop leather goods
she has to put the baby to bed	she baby bed
no break your promise	no cancel you promise
wreslting is my favourite sport	w r e s l t i n g me like game
5852	5 8 5 2
no excited	excite no
what your papa job	you father doing
weak	weak
the story is not important 	story important no
162	1 6 2
her father passed away in 1999	her father died 1 9 9 9
he set his own house on fire	he lit own house
does he want to have coffee	he want coffee
i was born in july	me born j y
to her i will give large folder	me her take large folder
give me a call later	phone me later
i do not love shopping	me like shopping no
i was born in secunderabad	me born place s e c u n d e r a b a d
march, april, may, june,	m march a blank a m a y j rain
her father came out after the world war and survived	war world after father survived
don't worry	worry no
we got bored from her long speech	she long speech bored us
can you go today	you today go can
a church she visited she fell in love with it	me visited church and like
my grandmother died in 2004	me grandmother died 2 0 0 4
chair	chair
24 hours a day	day two four hours
this is time waste	this big waste time
i can't bear the sight of it	me no look it
27	2 7
she is going to ask me or not	she me tell change no
she have worked hard for my whole life and have never taken anyone's charity	she work difficult she life she no take anyone take
he turned 45 on this birthday	he birthday 4 5
june, july, august, september, october, november, december, january,	j rain j y a tiewrist s blank s october n cracker d cold j eid
her sister passed away in 2011	her sister died 2 0 1 1
his sister died in 2008	his sister died 2 0 0 8
truth is easiest to remember	correct easy know
he turned 25 on this birthday	he birthday 2 5
many people live on this island	big people home this island
my brother passed away in 1973	me brother died 1 9 7 3
she takes dog on walk every morning	she walk her dog every morning
she was born on 25 may 2009	she born 2 5 m a y 2 0 0 9
i was laughed at by everyone	everyone me laugh
crying she was in her room	she cry in her room
i have not seen him since then	me no look her time then
e	e
why didn't she come yesterday	why she past come no
they couldn’t do swimming	they know no how swim
that dress she look nice in	she look beauty dress
speak little 	talk little
she could not play cricket	she know no how play cricket
they cannot do swimming	they know no how swim
office	office
she was born on 23 january 2016	she born 2 3 j eid 2 0 1 6
a lot of people live on this island	big people home this island
82 people are walking	8 2 people walk
hospital	hospital
it looks interesting to me	that look me like
keep smiling	keep smiling
she could not take deep breaths	she no deep_breath
i worked for 26 years at the paper mill	me work write mill 2 6 years
she view it as a necessary but undesirable 	she view necessary undesirable
increasing is the population	population increase
there are 82 women walking on the road	8 2 man walk there
you were born on 25 april 1988	you born 2 5 a blank a 1 9 8 8
she taught for 2 years	she teacher 2 year
i do not love shopping	me like shopping no
does he have cash	he money have
he takes dog on walk every morning	he walk their dog every morning
does she want to drink coffee	she want coffee
a	a
there are 247 people walking in the street	2 4 7 people walk there
i was born in november	me born n cracker
many houses were burned down	big house burn down
we at his joke all laughed	we laugh his joke
someone on the door knocked	someone knock door
i cannot bear to look at it	me no look it
she is pleased to help you	she you help happy
i'm thinking	me thinking
he went to the theater	he go theater
did he come by bus or train	he come drive change train
last year he changed school	he change school past year
in a bun she wears her hair	she hair bun
it was published everywhere	published world
they had to compromise food	food compromize
he close door suddenly	he close door shock
the boy climbed up a tree	boy climb up tree
on the farm she worked all day	her work farmland day
her father died in 2005	her father died 2 0 0 5
to work harder they resolved	they resolve work difficult
when she was 32 years old she died	she 2 9 died
they took them away from the city	taken far city
do not throw garbage use the trash please	please garbage no use dustbin
for my child i want the best education	me want me child have best education
she must have forgotten it on the bus	she must keep on drive
she is a homemaker	she home homemaker
her homework she finished	she homework finish did
attendance	attendance
a singer he wants to be	he want singer
this was done successfully at the local nursing homes where she worked	she work local nurse where work good
it seems that they are honest	they recognize they truth
she was born in gurgaon	she born place g u r g a o n
i agree	me accompany
tomorrow he will go to america	he tomorrow go a m e r i c a
44 people are walking	4 4 people walk
they eats food at canteen	they eat there cafeteria
he was born in junagadh in 1900	he born place j u n a g a d h 1 9 0 0
they told me the rule	they rule me
a man got suspicious and informed the army	man suspicious phone army
she will become a doctor	she wish doctor
my sister is a homemaker	me sister home homemaker
her father worked in the army earlier and later in an office 	father past work army now office
lets us go for a movie	movie look go okay
everyday she tries something new	she everyday try something new
it was an extremely cold night and pitch dark	dark and big cold night
27 people are walking	2 7 people walk
july, august,	j y a tiewrist
they wanted to do it for the last 10 years	they like work past 1 0 year
you are very short tempered	you big temper
they were caught in traffic	they catch traffic
81	8 1
have you ever written a book	you ever write book
you speak hindi	you tell h i n d i 
mend your ways you will have to	you ways mend
animal	animal
yesterday he came see you	he come you look past
march, april, may,	m march a blank a m a y
how long you stay abroad	you how time aeroplane stay
they had to stay in dark to not get caught	light no stay catch no
it is a sheer waste of time	this big waste time
she will be on duty this tuesday	she future duty this tuesday
this is mine and that is yours	this me that you
everyone felt sorry for tom	people know sorry t o m
he came to see you tomorrow	he come you look tomorrow
does he want to drink coffee	he want coffee
everyone doesn't know about this book	everyone know book no
doing nothing i am bored	me bored doing nothing
the king the country governed	king govern country
i was born in amritsar	me born place a m r i t s a r
98 people are walking	9 8 people walk
on the farm she worked all day	her work farmland day
is he sick	he sick
is he ill	he sick
i believe you like your job	me thinking you like your work
all the best	all_the_best
please take off your socks	please socks take_off
chirayu died in 1992	c h i r a y u died 1 9 9 2
150	1 5 0
she was born in february	she born f
july, august, september, october, november, december,	j y a tiewrist s blank s october n cracker d cold
he went to goa on sunday	he go g o a sunday
everyone felt sorry for tom	people know sorry t o m
does she have money	she money have
you were born in july	you born j y
he must have kept it on the bus	he must keep on drive
most people like watching tv	big people like look t v
bhutan is also our neighbouring country	b h u t a n accompany our and country
i was born in september	me born s blank s
champakavathi died in 1999	c h a m p a k a v a t h i died 1 9 9 9
i was born in september	me born s blank s
33	3 3
all of them suffered in pain	suffered pain
they how long stay abroad	they how time aeroplane stay
he has juice	he keep drink
the war was going on and a lot of christians were killed	war kill christian
we are suffering in pain	suffered pain
everyone felt sorry for kavya	people know sorry k a v y a
their dream is to be doctor	they wish doctor
his brother passed away in 1964	his brother died 1 9 6 4
we meet today	we today meet can
i found it easy to do so	that me easy work
how did he know her	he how know her
anything you like you may take	you pick like you
did she do her homework	she homework finish did
do you want to eat lunch	you want lunch
they are both good teachers	they both good teacher
she wishes to become a doctor	she wish doctor
what time is it	what watch
can he borrow money from you	what money you take
1969	1 9 6 9
english is spoken in england	e n g l i s h say e n g l a n d 
becoming doctor is his dream	he wish doctor
i am a clerk	me clerk
laughing all of us at his joke	we laugh his joke
1 people are there in her family	her family 1 people
her fate was to die young	her fate die young
everyone speaks well of him	everyone say good him
he was born in chandrapur	he born place c h a n d r a p u r
he was born in dicholi in 2015	he born place d i c h o l i 2 0 1 5
he visited a church and fell in love with it	me visited church and like
i was born in september	me born s blank s
get out of my sight	get_out
9	9
they have been wanting to do it for the past 9 years	they like work past 9 year
place it wherever you like	place wherever you like 
do not book tickets	ticket bookv no
5201	5 2 0 1
they went out of town for work	they town out work
the car raised a cloud of dust	drive raise dust
i left the keys with my wallet	me keys wallet
she was born on 3 november 1996	she born 3 n cracker 1 9 9 6
they went to chennai on friday	they go c h e n n a i friday
tom i want to talk to you	tom me want talk you
i was born on 14 september 1947	me born 1 4 s blank s 1 9 4 7
she went to qatar on wednesday	she go q a t a r wednesday
she was born in kottayam	she born place k o t t a y a m
january, february, march,	j eid f m march
she wanted to be single	she like 1
you already booked tickets	you ticket bookv did
she was born on 23 october 1998	she born 2 3 october 1 9 9 8
her mother died there	mother died
for 2 years he taught	he teacher 2 year
a man got suspicious	man suspicious 
6 people are there in my family	me family 6 people
you were born in nanded	you born place n a n d e d
she is used to working hard	she difficult work
november january or may	n cracker j eid or m a y
her mother passed away in 1991	her mother died 1 9 9 1
how much money	money what
she rejects this view completely	she reject this view complete
where the changing room is	where change room
for my child i want the best education	me want me child have best education
she is looked up at by the students	student look her
he could not swim	he know no how swim
august to march	a tiewrist m march between
january, february, march, april, may, june, july,	j eid f m march a blank a m a y j rain j y
they could not breathe deep easily	they no deep_breath
garden	garden
his mother passed away in 1983	his mother died 1 9 8 3
